Time Stamp	Battery Volts	Motor Command 1	Motor Command 2	Motor Amps 1	Motor Power 1	Motor Amps 2	Motor Power 2

9/15/2015 12:41:13 PM	22.9	-610	-590	-11.5	-620	-10.4	-580
9/15/2015 12:41:14 PM	24	-420	-780	3.7	-350	-20.7	-792
9/15/2015 12:41:15 PM	22.8	0	0	2.3	-309	-20.4	-728
9/15/2015 12:41:15 PM	23.5	-300	-1000	-1	-325	-19.5	-659
9/15/2015 12:41:16 PM	23.6	0	0	-0.6	-276	-19.8	-596
9/15/2015 12:41:17 PM	23.8	-150	-1000	-3.5	-350	-19.5	-538
9/15/2015 12:41:26 PM	23.6	0	0	2.1	-197	-19.9	-528
9/15/2015 12:41:29 PM	23.8	-175	-1000	0.5	-295	-20	-479
9/15/2015 12:41:30 PM	23.5	-75	-1000	0	-138	-20.2	-530
9/15/2015 12:41:32 PM	23.2	-225	-1000	3.5	-294	-19.7	-601
9/15/2015 12:41:33 PM	23.5	-325	-1000	1.4	-225	-19.9	-549
9/15/2015 12:41:35 PM	23.8	-150	-1000	1	-85	-20.2	-363
9/15/2015 12:41:36 PM	24	-75	-1000	0	-14	-19.9	-340
9/15/2015 12:41:45 PM	23.6	0	0	0	-180	-20	-511
9/15/2015 12:41:47 PM	22.9	-400	-800	-0.6	-450	-19.9	-694
